Name;Type;GUID;Notes;Phase;Version;Priority;Stereotype;Fully Qualified Stereotype;Language;Author;Scope;Alias;Status;Complexity;Keywords;Is Abstract;Is Leaf;Is Root;Is Specification;Created Date;Modified Date;Requirement Difficulty;Requirement Priority;GenFile;Profile Metatype;CSV_KEY;CSV_PARENT_KEY
Summer course;Class;{146B29BA-53AD-4820-A6BE-4AB5E50D015B};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 17:36:28;22-юни-2021 11:35:49;;;;Class;CSVD765A6FB;
Scholarship;Class;{D924B426-DC96-4d61-BC7A-CF78CA876925};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 18:43:26;11-юни-2021 19:27:05;;;;Class;CSVAFD63BAA;
Education;Class;{7D76C5AD-01CF-4652-B0D3-1060647B4319};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 20:16:33;11-юни-2021 20:19:29;;;;Class;CSV71DD39C8;
Professional Experience;Class;{D087DEFC-217F-4976-BEE6-FCE9553185C5};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 20:16:50;11-юни-2021 20:19:29;;;;Class;CSV9E5A5C3E;
Personal Info;Class;{81B6DD37-55B9-4dc6-9B36-F67B56BD2E01};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 20:17:00;11-юни-2021 20:18:17;;;;Class;CSV8D7C8C23;
Background;Class;{A26BC153-BD4B-489e-AD00-68B8EB93203A};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 20:17:15;11-юни-2021 20:18:17;;;;Class;CSV1961D7FE;
Curriculum Vitae;Class;{9B094616-ADBA-44d4-9528-3F038920E86F};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 20:17:21;11-юни-2021 21:38:44;;;;Class;CSVEC2BA508;
Diploma;Class;{51EF0AAF-351A-4b7d-A787-42CB6441515B};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 20:37:37;11-юни-2021 20:38:13;;;;Class;CSV165DFFC0;
Project Portfolio;Class;{AD68B839-EA30-4d09-ACA5-B746158B16DC};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:35:13;11-юни-2021 21:51:19;;;;Class;CSV9D195E02;
Contemporary Period;Class;{D6EE5662-412A-4c43-83F6-6B80FB01695A};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:35:21;11-юни-2021 21:39:05;;;;Class;CSVD52E7F3D;
